x,f(x),sin(x),cos(x),tan(x),cot(x),sec(x),csc(x),log(x),log2(x),log3(x),log5(x),log10(x)
0.6, -0.2961822364355042, 0.564642473394826, 0.8253356149094511, 0.684136808341627, 1.4616959470782416, 1.2116283145126503, 1.7710321966883822, -0.5108256237587366, -0.7369655941665152, -0.464973520727948, -0.3173938055236464, -0.22184874964421358
0.7, -0.1952152160194676, 0.6442176872376947, 0.7648421872839036, 0.8422883804637282, 1.187241832125765, 1.3074592597345935, 1.5522703269570952, -0.3566749439380452, -0.5145731728362899, -0.3246595251389441, -0.22161460296067073, -0.15490196000709525
0.7999999999999999, -0.11942904801030907, 0.7173560908995495, 0.6967067093471817, 1.0296385570503783, 0.971214600650461, 1.4353241996722061, 1.394007819388584, -0.22314355131414867, -0.3219280948919808, -0.20311401358221842, -0.1386468838593522, -0.09691001302157491
0.8999999999999999, -0.05611646270413162, 0.7833269096276404, 0.6216099682707061, 1.2601582175505073, 0.7935511478422113, 1.6087258104659417, 1.2766062134586396, -0.10536051565782484, -0.15200309344727017, -0.09590327429281201, -0.06546416910433776, -0.04575749056706997
0.9999999999999999, -5.911447045766353E-17, 0.8414709848078936, 0.5403023058682431, 1.5574077246545988, 0.6420926159344558, 1.8508157176805713, 1.1883951057781252, -1.1102230246251565E-16, -1.601713251930876E-16, -1.0105685473542406E-16, -6.898203503827752E-17, -4.821637333440352E-17
1.0999999999999999, 0.05076082425509552, 0.8912073600614211, 0.4535961214258261, 1.9647596572475432, 0.5089681052393517, 2.20460438871615, 1.122073318527218, 0.09531017980404445, 0.13750352375154065, 0.0867550643575999, 0.05921954433404883, 0.04139268516388868
1.2, 0.09742025186270693, 0.9320390859671641, 0.3623577544772518, 2.5721516221220426, 0.3887795693688513, 2.7597036013280025, 1.0729163777099688, 0.18232155679331283, 0.26303440583671345, 0.16595623285887934, 0.11328275256402595, 0.07918124605841319
1.3, 0.14195215724153518, 0.9635581854169509, 0.26749882862589247, 3.6021024479494996, 0.27761564654254933, 3.7383341270572026, 1.0378200456750621, 0.2623642644669972, 0.37851162325855114, 0.23881424519149663, 0.16301608310064422, 0.11394335232254804
1.4000000000000001, 0.18744101626769602, 0.9854497299884651, 0.16996714290019843, 5.797883715484369, 0.17247672583175594, 5.883490084828816, 1.0147651062948744, 0.3364722366209223, 0.4854268271769194, 0.30627022845418034, 0.2090619551313, 0.146128035698536
1.5000000000000002, 0.2380373248632413, 0.9974949866040727, 0.07073720166760648, 14.1014199471912, 0.07091484430255449, 14.136832902989173, 1.0025113042467066, 0.4054651081036356, 0.5849625007231747, 0.3690702464376153, 0.251929636421001, 0.17609125907832654
1.6000000000000003, 0.2987434317874951, 0.9995736030415668, -0.029199522301504428, -34.23253273530665, -0.029211978200158792, -34.2471356097657, 1.0004265788503575, 0.47000362924389155, 0.6780719051198907, 0.42781574001006195, 0.2920296742320424, 0.2041199826836536
1.7000000000000004, 0.3751599479792469, 0.9916648104526637, -0.12884449429599112, -7.69660213943281, -0.12992746433865862, -7.761293996022258, 1.0084052488900273, 0.5306282510613569, 0.7655347463729956, 0.482998648889709, 0.32969786966337644, 0.2304489214101303
1.8000000000000005, 0.4732497897896346, 0.9738476308787728, -0.22720209469407812, -4.286261674611909, -0.2333035348548903, -4.401367871834434, 1.026854682695719, 0.5877866648968912, 0.8479969065598056, 0.5350264792964425, 0.3652123889849914, 0.2552725051367149
1.9000000000000006, 0.5991405046899414, 0.9463000876874004, -0.32328956686346827, -2.927097514678047, -0.34163535549651497, -3.093202201673029, 1.0567472337911679, 0.641853886170169, 0.9259994185665502, 0.5842405849758525, 0.39880624237814, 0.27875360099082347
